We have attempted to match the data in Sample_Data/REXS-Database/SEW_Parallelwellengetriebe_3stufig/sew_parallelwellengetriebe_3stufig_1-1.rexsj to the data in Sample_Data/REXS-Database/SEW_Parallelwellengetriebe_3stufig/sew_parallelwellengetriebe_3stufig_1-2.rexsj. 
92/92 components and 88/88 relations from the first data model were matched. 
92/92 components and 88/88 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                 	|	ID  	Type                                 
6     	assembly        	     	1,assembly,gear_unit                             	6,part,cylindrical_stage    	                                   	|	13    	assembly        	     	1,assembly,gear_unit                             	6,part,cylindrical_stage     	                                   
7     	assembly        	     	1,assembly,gear_unit                             	39,part,cylindrical_stage   	                                   	|	14    	assembly        	     	1,assembly,gear_unit                             	39,part,cylindrical_stage    	                                   
8     	assembly        	     	1,assembly,gear_unit                             	55,part,cylindrical_stage   	                                   	|	15    	assembly        	     	1,assembly,gear_unit                             	55,part,cylindrical_stage    	                                   
9     	assembly        	     	1,assembly,gear_unit                             	4,part,shaft                	                                   	|	16    	assembly        	     	1,assembly,gear_unit                             	4,part,shaft                 	                                   
10    	assembly        	     	1,assembly,gear_unit                             	5,part,shaft                	                                   	|	2     	assembly        	     	1,assembly,gear_unit                             	5,part,shaft                 	                                   
11    	assembly        	     	1,assembly,gear_unit                             	38,part,shaft               	                                   	|	3     	assembly        	     	1,assembly,gear_unit                             	38,part,shaft                	                                   
12    	assembly        	     	1,assembly,gear_unit                             	54,part,shaft               	                                   	|	4     	assembly        	     	1,assembly,gear_unit                             	54,part,shaft                	                                   
13    	assembly        	     	4,assembly,shaft                                 	22,part,external_load       	                                   	|	5     	assembly        	     	4,assembly,shaft                                 	22,part,external_load        	                                   
14    	assembly        	     	4,assembly,shaft                                 	23,part,cylindrical_gear    	                                   	|	6     	assembly        	     	4,assembly,shaft                                 	23,part,cylindrical_gear     	                                   
15    	assembly        	     	5,assembly,shaft                                 	36,part,cylindrical_gear    	                                   	|	7     	assembly        	     	5,assembly,shaft                                 	36,part,cylindrical_gear     	                                   
16    	assembly        	     	5,assembly,shaft                                 	40,part,cylindrical_gear    	                                   	|	8     	assembly        	     	5,assembly,shaft                                 	40,part,cylindrical_gear     	                                   
58    	stage           	     	6,stage,cylindrical_stage                        	23,gear_1,cylindrical_gear  	36,gear_2,cylindrical_gear         	|	58    	stage           	     	6,stage,cylindrical_stage                        	23,gear_1,cylindrical_gear   	36,gear_2,cylindrical_gear         
59    	stage           	     	39,stage,cylindrical_stage                       	40,gear_1,cylindrical_gear  	52,gear_2,cylindrical_gear         	|	59    	stage           	     	39,stage,cylindrical_stage                       	40,gear_1,cylindrical_gear   	52,gear_2,cylindrical_gear         
60    	stage           	     	55,stage,cylindrical_stage                       	56,gear_1,cylindrical_gear  	76,gear_2,cylindrical_gear         	|	60    	stage           	     	55,stage,cylindrical_stage                       	56,gear_1,cylindrical_gear   	76,gear_2,cylindrical_gear         
61    	stage_gear_data 	     	6,stage,cylindrical_stage                        	23,gear,cylindrical_gear    	504,stage_gear_data,stage_gear_data	|	61    	stage_gear_data 	     	6,stage,cylindrical_stage                        	23,gear,cylindrical_gear     	504,stage_gear_data,stage_gear_data
62    	stage_gear_data 	     	6,stage,cylindrical_stage                        	36,gear,cylindrical_gear    	505,stage_gear_data,stage_gear_data	|	62    	stage_gear_data 	     	6,stage,cylindrical_stage                        	36,gear,cylindrical_gear     	505,stage_gear_data,stage_gear_data
63    	stage_gear_data 	     	39,stage,cylindrical_stage                       	40,gear,cylindrical_gear    	510,stage_gear_data,stage_gear_data	|	63    	stage_gear_data 	     	39,stage,cylindrical_stage                       	40,gear,cylindrical_gear     	510,stage_gear_data,stage_gear_data
64    	stage_gear_data 	     	39,stage,cylindrical_stage                       	52,gear,cylindrical_gear    	511,stage_gear_data,stage_gear_data	|	64    	stage_gear_data 	     	39,stage,cylindrical_stage                       	52,gear,cylindrical_gear     	511,stage_gear_data,stage_gear_data
65    	stage_gear_data 	     	55,stage,cylindrical_stage                       	56,gear,cylindrical_gear    	516,stage_gear_data,stage_gear_data	|	65    	stage_gear_data 	     	55,stage,cylindrical_stage                       	56,gear,cylindrical_gear     	516,stage_gear_data,stage_gear_data
66    	stage_gear_data 	     	55,stage,cylindrical_stage                       	76,gear,cylindrical_gear    	517,stage_gear_data,stage_gear_data	|	66    	stage_gear_data 	     	55,stage,cylindrical_stage                       	76,gear,cylindrical_gear     	517,stage_gear_data,stage_gear_data
67    	side            	     	20,assembly,rolling_bearing_with_catalog_geometry	4,inner_part,shaft          	2,outer_part,gear_casing           	|	67    	side            	     	20,assembly,rolling_bearing_with_catalog_geometry	4,inner_part,shaft           	2,outer_part,gear_casing           
68    	side            	     	21,assembly,rolling_bearing_with_catalog_geometry	4,inner_part,shaft          	2,outer_part,gear_casing           	|	68    	side            	     	21,assembly,rolling_bearing_with_catalog_geometry	4,inner_part,shaft           	2,outer_part,gear_casing           
69    	side            	     	34,assembly,rolling_bearing_with_catalog_geometry	5,inner_part,shaft          	2,outer_part,gear_casing           	|	69    	side            	     	34,assembly,rolling_bearing_with_catalog_geometry	5,inner_part,shaft           	2,outer_part,gear_casing           
70    	side            	     	35,assembly,rolling_bearing_with_catalog_geometry	5,inner_part,shaft          	2,outer_part,gear_casing           	|	70    	side            	     	35,assembly,rolling_bearing_with_catalog_geometry	5,inner_part,shaft           	2,outer_part,gear_casing           
71    	side            	     	50,assembly,rolling_bearing_with_catalog_geometry	38,inner_part,shaft         	2,outer_part,gear_casing           	|	71    	side            	     	50,assembly,rolling_bearing_with_catalog_geometry	38,inner_part,shaft          	2,outer_part,gear_casing           
72    	side            	     	51,assembly,rolling_bearing_with_catalog_geometry	38,inner_part,shaft         	2,outer_part,gear_casing           	|	72    	side            	     	51,assembly,rolling_bearing_with_catalog_geometry	38,inner_part,shaft          	2,outer_part,gear_casing           
73    	side            	     	73,assembly,rolling_bearing_with_catalog_geometry	54,inner_part,shaft         	2,outer_part,gear_casing           	|	73    	side            	     	73,assembly,rolling_bearing_with_catalog_geometry	54,inner_part,shaft          	2,outer_part,gear_casing           
74    	side            	     	74,assembly,rolling_bearing_with_catalog_geometry	54,inner_part,shaft         	2,outer_part,gear_casing           	|	74    	side            	     	74,assembly,rolling_bearing_with_catalog_geometry	54,inner_part,shaft          	2,outer_part,gear_casing           
179   	assembly        	     	4,assembly,shaft                                 	906,part,shaft_section      	                                   	|	179   	assembly        	     	4,assembly,shaft                                 	1049,part,shaft_section      	                                   
180   	assembly        	     	4,assembly,shaft                                 	907,part,shaft_section      	                                   	|	180   	assembly        	     	4,assembly,shaft                                 	1050,part,shaft_section      	                                   
181   	assembly        	     	4,assembly,shaft                                 	908,part,shaft_section      	                                   	|	181   	assembly        	     	4,assembly,shaft                                 	1051,part,shaft_section      	                                   
182   	assembly        	     	4,assembly,shaft                                 	909,part,shaft_section      	                                   	|	182   	assembly        	     	4,assembly,shaft                                 	1052,part,shaft_section      	                                   
183   	assembly        	     	4,assembly,shaft                                 	910,part,shaft_section      	                                   	|	183   	assembly        	     	4,assembly,shaft                                 	1053,part,shaft_section      	                                   
184   	assembly        	     	4,assembly,shaft                                 	911,part,shaft_section      	                                   	|	184   	assembly        	     	4,assembly,shaft                                 	1054,part,shaft_section      	                                   
185   	assembly        	     	4,assembly,shaft                                 	912,part,shaft_section      	                                   	|	185   	assembly        	     	4,assembly,shaft                                 	1055,part,shaft_section      	                                   
186   	assembly        	     	4,assembly,shaft                                 	913,part,shaft_section      	                                   	|	186   	assembly        	     	4,assembly,shaft                                 	1056,part,shaft_section      	                                   
187   	assembly        	     	4,assembly,shaft                                 	914,part,shaft_section      	                                   	|	187   	assembly        	     	4,assembly,shaft                                 	1057,part,shaft_section      	                                   
188   	assembly        	     	4,assembly,shaft                                 	915,part,shaft_section      	                                   	|	188   	assembly        	     	4,assembly,shaft                                 	1058,part,shaft_section      	                                   
189   	assembly        	     	4,assembly,shaft                                 	916,part,shaft_section      	                                   	|	189   	assembly        	     	4,assembly,shaft                                 	1059,part,shaft_section      	                                   
190   	assembly        	     	4,assembly,shaft                                 	917,part,shaft_section      	                                   	|	190   	assembly        	     	4,assembly,shaft                                 	1060,part,shaft_section      	                                   
